year,age,count
1999.0,20 - 29 years,8.700000000000001
1999.0,30 - 39 years,42.52916666666667
1999.0,40 - 49 years,111.0379310344828
1999.0,50 - 59 years,190.9562724014336
1999.0,60 - 69 years,257.7863281249998
1999.0,70 - 79 years,303.3609053497949
1999.0,80 - 89 years,321.9499999999997
2000.0,20 - 29 years,9.957142857142856
2000.0,30 - 39 years,42.79774436090225
2000.0,40 - 49 years,108.20153846153846
2000.0,50 - 59 years,186.45719424460432
2000.0,60 - 69 years,256.90311284046703
2000.0,70 - 79 years,300.63865546218483
2000.0,80 - 89 years,305.84944444444415
2001.0,20 - 29 years,9.383333333333335
2001.0,30 - 39 years,42.388571428571424
2001.0,40 - 49 years,105.41920289855071
2001.0,50 - 59 years,186.79381443298962
2001.0,60 - 69 years,256.90111940298516
2001.0,70 - 79 years,291.4228915662653
2001.0,80 - 89 years,311.29135135135135
2002.0,20 - 29 years,10.00909090909091
2002.0,30 - 39 years,42.57445255474452
2002.0,40 - 49 years,108.13678571428566
2002.0,50 - 59 years,186.73796610169475
2002.0,60 - 69 years,256.1341818181815
2002.0,70 - 79 years,286.8358565737053
2002.0,80 - 89 years,310.30634920634907
2003.0,20 - 29 years,9.535714285714283
2003.0,30 - 39 years,43.87867647058823
2003.0,40 - 49 years,108.71672473867598
2003.0,50 - 59 years,174.60225806451623
2003.0,60 - 69 years,239.18175438596498
2003.0,70 - 79 years,279.6865612648219
2003.0,80 - 89 years,287.727918781726
2004.0,20 - 29 years,9.141176470588235
2004.0,30 - 39 years,43.653191489361674
2004.0,40 - 49 years,108.80238907849831
2004.0,50 - 59 years,171.5211726384364
2004.0,60 - 69 years,237.63564013840843
2004.0,70 - 79 years,267.425581395349
2004.0,80 - 89 years,290.35388601036243
2005.0,20 - 29 years,9.454545454545455
2005.0,30 - 39 years,44.37226277372261
2005.0,40 - 49 years,104.8170138888889
2005.0,50 - 59 years,168.57142857142844
2005.0,60 - 69 years,232.81168384879734
2005.0,70 - 79 years,278.0869402985075
2005.0,80 - 89 years,289.71299999999997
2006.0,20 - 29 years,9.864285714285714
2006.0,30 - 39 years,43.99202898550725
2006.0,40 - 49 years,110.44320557491297
2006.0,50 - 59 years,165.1704402515724
2006.0,60 - 69 years,239.48160535117037
2006.0,70 - 79 years,275.82878787878815
2006.0,80 - 89 years,291.33908629441635
2007.0,20 - 29 years,9.825
2007.0,30 - 39 years,42.058571428571405
2007.0,40 - 49 years,110.42382550335574
2007.0,50 - 59 years,167.47742946708473
2007.0,60 - 69 years,243.40993589743607
2007.0,70 - 79 years,274.54051094890514
2007.0,80 - 89 years,285.4752380952381
2008.0,20 - 29 years,9.6375
2008.0,30 - 39 years,44.696621621621645
2008.0,40 - 49 years,112.68474576271191
2008.0,50 - 59 years,164.7674772036474
2008.0,60 - 69 years,244.35683229813645
2008.0,70 - 79 years,291.29594095940945
2008.0,80 - 89 years,297.65550239234443
2009.0,20 - 29 years,11.747058823529413
2009.0,30 - 39 years,44.54468085106382
2009.0,40 - 49 years,112.83432343234317
2009.0,50 - 59 years,165.16952662721883
2009.0,60 - 69 years,249.62156249999998
2009.0,70 - 79 years,285.7333333333334
2009.0,80 - 89 years,293.15588235294103
2010.0,20 - 29 years,10.370588235294118
2010.0,30 - 39 years,43.77985611510789
2010.0,40 - 49 years,109.95280528052811
2010.0,50 - 59 years,160.44444444444426
2010.0,60 - 69 years,240.26646153846156
2010.0,70 - 79 years,287.75359712230215
2010.0,80 - 89 years,278.0951219512195
2011.0,20 - 29 years,10.023529411764708
2011.0,30 - 39 years,43.87518248175183
2011.0,40 - 49 years,114.66883116883118
2011.0,50 - 59 years,162.65647058823524
2011.0,60 - 69 years,245.51815476190487
2011.0,70 - 79 years,294.7570422535214
2011.0,80 - 89 years,283.5669950738917
2012.0,20 - 29 years,10.178947368421053
2012.0,30 - 39 years,43.45323741007195
2012.0,40 - 49 years,114.7986970684039
2012.0,50 - 59 years,164.35735294117652
2012.0,60 - 69 years,247.5244117647057
2012.0,70 - 79 years,288.81609589041085
2012.0,80 - 89 years,284.72350000000006
2013.0,20 - 29 years,10.052631578947368
2013.0,30 - 39 years,45.38928571428572
2013.0,40 - 49 years,111.65628930817616
2013.0,50 - 59 years,163.43943661971838
2013.0,60 - 69 years,242.9201704545453
2013.0,70 - 79 years,297.5378839590445
2013.0,80 - 89 years,284.8502415458936
2014.0,20 - 29 years,11.122727272727273
2014.0,30 - 39 years,44.96474820143885
2014.0,40 - 49 years,113.11118012422365
2014.0,50 - 59 years,163.1680672268908
2014.0,60 - 69 years,239.48212290502815
2014.0,70 - 79 years,292.2445578231291
2014.0,80 - 89 years,273.3193236714974
2015.0,20 - 29 years,10.20952380952381
2015.0,30 - 39 years,43.66241134751775
2015.0,40 - 49 years,112.0752380952381
2015.0,50 - 59 years,161.62457627118653
2015.0,60 - 69 years,232.7351498637601
2015.0,70 - 79 years,285.93672131147554
2015.0,80 - 89 years,265.6869565217391
